Location,Marital_Status,Num_Dependents,Disability_Above_60pct,Dependents_Have_Disability,Num_Dependents_With_Disability,Base_Salary_EUR,Social_Security_Rate_pct,Twelfths_Option,Meal_Card_Type,Year,Monthly_Net_Salary,Monthly_Gross_Salary,Annual_Gross_Salary,IRS_Retention_Rate,Annual_Employer_Cost,Monthly_Employer_Cost,IRS_Retention_Earnings_Twelfths,Extra_Compensation_Retention,Social_Security_Contribution,Net_Salary
madeira,CAS1,2,true,true,1,3000,11, ,not_available,2026,7.703€,10.000€,140.000€,11.97%,173.250€,"14.437,50€",,"0,00€","1.100,00€","7.703,00€"
madeira,CAS1,2,true,true,1,5000,11, ,not_available,2026,2.670€,3.000€,42.000€,0.00%,51.975€,"4.331,25€",,,,
madeira,CAS1,2,true,true,1,10000,11, ,not_available,2026,4.435€,5.000€,70.000€,0.31%,86.625€,"7.218,75€",,"0,00€","550,00€","4.435,00€"
madeira,CAS1,2,true,true,1,820,11,1x50%,not_available,2026,7.788€,10.000€,140.000€,11.13%,173.250€,"14.437,50€",,"0,00€","1.100,00€","7.788,00€"
madeira,CAS1,2,true,true,1,1000,11,1x50%,not_available,2026,"760,21€","854,17€",11.480€,0.00%,"14.206,50€","1.183,88€",,"0,00€","93,96€","760,21€"
madeira,CAS1,2,true,true,1,1500,11,1x50%,not_available,2026,"927,08€","1.041,67€",14.000€,0.00%,17.325€,"1.443,75€",,,,
madeira,CAS1,2,true,true,1,2000,11,1x50%,not_available,2026,2.670€,3.000€,42.000€,0.00%,51.975€,"4.331,25€",,"0,00€","330,00€","2.670,00€"
madeira,CAS1,2,true,true,1,3000,11,1x50%,not_available,2026,"1.854,17€","2.083,33€",28.000€,0.00%,34.650€,"2.887,50€",,"0,00€","229,17€","1.854,17€"
madeira,CAS1,2,true,true,1,5000,11,1x50%,not_available,2026,"2.781,25€",3.125€,42.000€,0.00%,51.975€,"4.331,25€",,"0,00€","343,75€","2.781,25€"
madeira,CAS1,2,true,true,1,10000,11,1x50%,not_available,2026,"4.619,42€","5.208,33€",70.000€,0.31%,86.625€,"7.218,75€",,,,
madeira,CAS1,2,true,true,1,820,11,2x50%,not_available,2026,"8.112,83€","10.416,67€",140.000€,11.13%,173.250€,"14.437,50€",,"0,00€","1.145,83€","8.112,83€"
madeira,CAS1,2,true,true,1,1000,11,2x50%,not_available,2026,"790,62€","888,33€",11.480€,0.00%,"14.206,50€","1.183,88€",,,,
madeira,CAS1,2,true,true,1,1500,11,2x50%,not_available,2026,"2.781,25€",3.125€,42.000€,0.00%,51.975€,"4.331,25€",,,,
madeira,CAS1,2,true,true,1,2000,11,2x50%,not_available,2026,"1.446,25€",1.625€,21.000€,0.00%,"25.987,50€","2.165,63€",,"0,00€","178,75€","1.446,25€"
madeira,CAS1,2,true,true,1,3000,11,2x50%,not_available,2026,"1.928,33€","2.166,67€",28.000€,0.00%,34.650€,"2.887,50€",,"0,00€","238,33€","1.928,33€"
madeira,CAS1,2,true,true,1,5000,11,2x50%,not_available,2026,"2.892,50€",3.250€,42.000€,0.00%,51.975€,"4.331,25€",,"0,00€","357,50€","2.892,50€"
madeira,CAS1,2,true,true,1,10000,11,2x50%,not_available,2026,"4.804,83€","5.416,67€",70.000€,0.31%,86.625€,"7.218,75€",,"0,00€","595,83€","4.804,83€"
madeira,CAS1,2,true,true,1,820,11,2x100%,not_available,2026,"8.436,67€","10.833,33€",140.000€,11.13%,173.250€,"14.437,50€",,"0,00€","1.191,67€","8.436,67€"
madeira,CAS1,2,true,true,1,1000,11,2x100%,not_available,2026,"851,43€","956,67€",11.480€,0.00%,"14.206,50€","1.183,88€",,,,
madeira,CAS1,2,true,true,1,1500,11,2x100%,not_available,2026,"1.038,33€","1.166,67€",14.000€,0.00%,17.325€,"1.443,75€",,"0,00€","128,33€","1.038,33€"
madeira,CAS1,2,true,true,1,2000,11,2x100%,not_available,2026,"1.557,50€",1.750€,21.000€,0.00%,"25.987,50€","2.165,63€",,"0,00€","192,50€","1.557,50€"
madeira,CAS1,2,true,true,1,3000,11,2x100%,not_available,2026,"2.076,67€","2.333,33€",28.000€,0.00%,34.650€,"2.887,50€",,,,
madeira,CAS1,2,true,true,1,5000,11,2x100%,not_available,2026,3.115€,3.500€,42.000€,0.00%,51.975€,"4.331,25€",,"0,00€","385,00€","3.115,00€"
madeira,CAS1,2,true,true,1,10000,11,2x100%,not_available,2026,"5.173,67€","5.833,33€",70.000€,0.31%,86.625€,"7.218,75€",,"0,00€","641,67€","5.173,67€"
madeira,CAS1,3,false,false,0,820,11, ,not_available,2026,"9.086,33€","11.666,67€",140.000€,11.13%,173.250€,"14.437,50€",,,,
madeira,CAS1,3,false,false,0,1000,11, ,not_available,2026,"729,80€",820€,11.480€,0.00%,"14.206,50€","1.183,88€",,"0,00€","90,20€","729,80€"
madeira,CAS1,3,false,false,0,1500,11, ,not_available,2026,890€,1.000€,14.000€,0.00%,17.325€,"1.443,75€",,"0,00€","110,00€","890,00€"
madeira,CAS1,3,false,false,0,2000,11, ,not_available,2026,1.335€,1.500€,21.000€,0.00%,"25.987,50€","2.165,63€",,,,
madeira,CAS1,3,false,false,0,3000,11, ,not_available,2026,1.780€,2.000€,28.000€,0.00%,34.650€,"2.887,50€",,"0,00€","220,00€","1.780,00€"
madeira,CAS1,3,false,false,0,5000,11, ,not_available,2026,2.608€,3.000€,42.000€,2.07%,51.975€,"4.331,25€",,"0,00€","330,00€","2.608,00€"
madeira,CAS1,3,false,false,0,10000,11, ,not_available,2026,4.112€,5.000€,70.000€,6.77%,86.625€,"7.218,75€",,,,
madeira,CAS1,3,false,false,0,820,11,1x50%,not_available,2026,7.521€,10.000€,140.000€,13.79%,173.250€,"14.437,50€",,,,
madeira,CAS1,3,false,false,0,1000,11,1x50%,not_available,2026,"760,21€","854,17€",11.480€,0.00%,"14.206,50€","1.183,88€",,,,
madeira,CAS1,3,false,false,0,1500,11,1x50%,not_available,2026,"927,08€","1.041,67€",14.000€,0.00%,17.325€,"1.443,75€",,"0,00€","114,58€","927,08€"
madeira,CAS1,3,false,false,0,2000,11,1x50%,not_available,2026,"1.390,63€","1.562,50€",21.000€,0.00%,"25.987,50€","2.165,63€",,"0,00€","171,88€","1.390,63€"
madeira,CAS1,3,false,false,0,3000,11,1x50%,not_available,2026,"1.854,17€","2.083,33€",28.000€,0.00%,34.650€,"2.887,50€",,"0,00€","229,17€","1.854,17€"
madeira,CAS1,3,false,false,0,5000,11,1x50%,not_available,2026,"2.717,25€",3.125€,42.000€,2.07%,51.975€,"4.331,25€",,,,
madeira,CAS1,3,false,false,0,10000,11,1x50%,not_available,2026,"4.283,42€","5.208,33€",70.000€,6.77%,86.625€,"7.218,75€",,"0,00€","572,92€","4.283,42€"
madeira,CAS1,3,false,false,0,820,11,2x50%,not_available,2026,"7.834,83€","10.416,67€",140.000€,13.79%,173.250€,"14.437,50€",,"0,00€","1.145,83€","7.834,83€"
madeira,CAS1,3,false,false,0,1000,11,2x50%,not_available,2026,"790,62€","888,33€",11.480€,0.00%,"14.206,50€","1.183,88€",,,,
madeira,CAS1,3,false,false,0,1500,11,2x50%,not_available,2026,"964,17€","1.083,33€",14.000€,0.00%,17.325€,"1.443,75€",,"0,00€","119,17€","964,17€"
madeira,CAS1,3,false,false,0,2000,11,2x50%,not_available,2026,"1.446,25€",1.625€,21.000€,0.00%,"25.987,50€","2.165,63€",,"0,00€","178,75€","1.446,25€"
madeira,CAS1,3,false,false,0,3000,11,2x50%,not_available,2026,"1.928,33€","2.166,67€",28.000€,0.00%,34.650€,"2.887,50€",,,,
madeira,CAS1,3,false,false,0,5000,11,2x50%,not_available,2026,"2.825,50€",3.250€,42.000€,2.07%,51.975€,"4.331,25€",,"0,00€","357,50€","2.825,50€"
madeira,CAS1,3,false,false,0,10000,11,2x50%,not_available,2026,"4.454,83€","5.416,67€",70.000€,6.77%,86.625€,"7.218,75€",,,,
madeira,CAS1,3,false,false,0,820,11,2x100%,not_available,2026,"8.148,67€","10.833,33€",140.000€,13.79%,173.250€,"14.437,50€",,"0,00€","1.191,67€","8.148,67€"
madeira,CAS1,3,false,false,0,1000,11,2x100%,not_available,2026,"851,43€","956,67€",11.480€,0.00%,"14.206,50€","1.183,88€",,"0,00€","105,23€","851,43€"
madeira,CAS1,3,false,false,0,1500,11,2x100%,not_available,2026,"1.038,33€","1.166,67€",14.000€,0.00%,17.325€,"1.443,75€",,"0,00€","128,33€","1.038,33€"
madeira,CAS1,3,false,false,0,2000,11,2x100%,not_available,2026,"1.557,50€",1.750€,21.000€,0.00%,"25.987,50€","2.165,63€",,"0,00€","192,50€","1.557,50€"
madeira,CAS1,3,false,false,0,3000,11,2x100%,not_available,2026,"2.076,67€","2.333,33€",28.000€,0.00%,34.650€,"2.887,50€",,"0,00€","256,67€","2.076,67€"
madeira,CAS1,3,false,false,0,5000,11,2x100%,not_available,2026,3.043€,3.500€,42.000€,2.07%,51.975€,"4.331,25€",,,,
madeira,CAS1,3,false,false,0,10000,11,2x100%,not_available,2026,"4.797,67€","5.833,33€",70.000€,6.77%,86.625€,"7.218,75€",,"0,00€","641,67€","4.797,67€"
