;;Tabelas de retenção na fonte para o continente - entre 1 de janeiro e 31 de dezembro de 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tabela VIII - Pensões;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Não casado ou casado dois titulares ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Remuneração mensal (€);;Taxa marginal máxima;;Parcela a abater (€);;;;;;;;Taxa efetiva mensal de retenção no limite do escalão;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;920,00;0,00%;;0,00;;;;;;;;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;1 042,00;12,50%;;12,50%;x;2,6;x ( ;1 320,92;- R );;;3,8%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;1 100,00;15,70%;;15,70%;x;1,35;x ( ;1 627,01;- R );;;5,5%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;1 133,00;15,70%;;111,70;;;;;;;;5,8%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;1 239,00;21,20%;;174,02;;;;;;;;7,2%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;1 869,00;24,10%;;209,96;;;;;;;;12,9%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;2 114,00;31,10%;;340,79;;;;;;;;15,0%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;2 361,00;34,90%;;421,13;;;;;;;;17,1%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;3 462,00;43,10%;;614,74;;;;;;;;25,3%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;5 833,00;44,60%;;666,67;;;;;;;;33,2%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;18 332,00;50,50%;;1 010,82;;;;;;;;45,0%;;;;;;;;;;;;;;;;;;;;;;;;;
;Superior a;18 332,00;53,00%;;1 469,12;;;;;;;;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fórmula a aplicar: Remuneração x Taxa - Parcela a abater.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R = Remuneração mensal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tabela IX - Pensões;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Casado, único titular;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Remuneração mensal (€);;Taxa marginal máxima;;Parcela a abater (€);;;;;;;;Taxa efetiva mensal de retenção no limite do escalão;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;920,00;0,00%;;0,00;;;;;;;;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;1 042,00;12,50%;;12,50%;x;2,6;x ( ;1 381,69;- R );;;1,9%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;1 100,00;12,50%;;12,50%;x;1,728;x ( ;1 553,11;- R );;;3,6%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;1 170,00;12,50%;;97,88;;;;;;;;4,1%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;1 526,00;15,90%;;137,66;;;;;;;;6,9%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;1 884,00;19,28%;;189,24;;;;;;;;9,2%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;2 314,00;21,77%;;236,16;;;;;;;;11,6%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;3 245,00;27,92%;;378,48;;;;;;;;16,3%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;3 480,00;32,33%;;521,59;;;;;;;;17,3%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;6 085,00;32,37%;;522,99;;;;;;;;23,8%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;18 350,00;42,93%;;1 165,57;;;;;;;;36,6%;;;;;;;;;;;;;;;;;;;;;;;;;
;Superior a;18 350,00;53,00%;;3 013,42;;;;;;;;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fórmula a aplicar: Remuneração x Taxa - Parcela a abater.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R = Remuneração mensal.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tabela X - Pensões;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Não casado ou casado dois titulares - Pessoa com deficiência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Remuneração mensal (€);;Taxa marginal máxima;;Parcela a abater (€);;;;;;Parcela adicional a abater por Deficiente das Forças Armadas (€);;Taxa efetiva mensal de retenção no limite do escalão;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;1 816,00;0,00%;;0,00;;;;;;0,00;;0,0%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;2 063,00;24,10%;;437,66;;;;;;18,19;;2,9%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;2 492,00;31,10%;;582,07;;;;;;18,19;;7,7%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;3 280,00;34,90%;;676,77;;;;;;18,19;;14,3%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;4 598,00;43,10%;;945,73;;;;;;18,19;;22,5%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;6 627,00;44,60%;;1 014,70;;;;;;18,19;;29,3%;;;;;;;;;;;;;;;;;;;;;;;;;
;Até;18 529,00;50,50%;;1 405,70;;;;;;18,19;;42,9%;;;;;;;;;;;;;;;;;;;;;;;;;
;Superior a;18 529,00;53,00%;;1 868,93;;;;;;18,19;;n.a.;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
