Location,Marital_Status,Num_Dependents,Disability_Above_60pct,Dependents_Have_Disability,Num_Dependents_With_Disability,Base_Salary_EUR,Social_Security_Rate_pct,Twelfths_Option,Meal_Card_Type,Year,Monthly_Net_Salary,Monthly_Gross_Salary,Annual_Gross_Salary,IRS_Retention_Rate,Annual_Employer_Cost,Monthly_Employer_Cost,IRS_Retention_Earnings_Twelfths,Extra_Compensation_Retention,Social_Security_Contribution,Net_Salary
continente,CAS2,2,false,true,1,10000,11,2x50%,not_available,2026,"5.756,67€","10.833,33€",140.000€,35.86%,173.250€,"14.437,50€",,"0,00€","1.191,67€","5.756,67€"
continente,CAS2,2,false,true,1,820,11,2x100%,not_available,2026,"2.266,50€",3.250€,42.000€,19.26%,51.975€,"4.331,25€",,"0,00€","357,50€","2.266,50€"
continente,CAS2,2,false,true,1,1000,11,2x100%,not_available,2026,"5.756,67€","10.833,33€",140.000€,35.86%,173.250€,"14.437,50€",,,,
continente,CAS2,2,false,true,1,1500,11,2x100%,not_available,2026,"1.038,33€","1.166,67€",14.000€,0.00%,17.325€,"1.443,75€",,"0,00€","105,23€","851,43€"
continente,CAS2,2,false,true,1,2000,11,2x100%,not_available,2026,"851,43€","956,67€",11.480€,0.00%,"14.206,50€","1.183,88€",,"0,00€","105,23€","851,43€"
continente,CAS2,2,false,true,1,3000,11,2x100%,not_available,2026,"1.824,67€","2.333,33€",28.000€,10.80%,34.650€,"2.887,50€",,"0,00€","256,67€","1.824,67€"
continente,CAS2,2,false,true,1,5000,11,2x100%,not_available,2026,2.441€,3.500€,42.000€,19.26%,51.975€,"4.331,25€",,"0,00€","385,00€","2.441,00€"
continente,CAS2,2,false,true,1,10000,11,2x100%,not_available,2026,"3.596,67€","5.833,33€",70.000€,27.35%,86.625€,"7.218,75€",,,,
continente,CAS2,2,true,false,0,820,11, ,not_available,2026,"6.199,33€","11.666,67€",140.000€,35.86%,173.250€,"14.437,50€",,,,
continente,CAS2,2,true,false,0,1000,11, ,not_available,2026,"729,80€",820€,11.480€,0.00%,"14.206,50€","1.183,88€",,,,
continente,CAS2,2,true,false,0,1500,11, ,not_available,2026,890€,1.000€,14.000€,0.00%,17.325€,"1.443,75€",,,,
continente,CAS2,2,true,false,0,2000,11, ,not_available,2026,1.522€,2.000€,28.000€,12.92%,34.650€,"2.887,50€",,"0,00€","641,67€","3.596,67€"
continente,CAS2,2,true,false,0,3000,11, ,not_available,2026,1.210€,1.500€,21.000€,8.35%,"25.987,50€","2.165,63€",,"0,00€","165,00€","1.210,00€"
continente,CAS2,2,true,false,0,5000,11, ,not_available,2026,1.522€,2.000€,28.000€,12.92%,34.650€,"2.887,50€",,"0,00€","220,00€","1.522,00€"
continente,CAS2,2,true,false,0,10000,11, ,not_available,2026,2.050€,3.000€,42.000€,20.68%,51.975€,"4.331,25€",,,,
continente,CAS2,2,true,false,0,820,11,1x50%,not_available,2026,3.040€,5.000€,70.000€,28.20%,86.625€,"7.218,75€",,,,
continente,CAS2,2,true,false,0,1000,11,1x50%,not_available,2026,"760,21€","854,17€",11.480€,0.00%,"14.206,50€","1.183,88€",,"0,00€","1.100,00€","5.272,00€"
continente,CAS2,2,true,false,0,1500,11,1x50%,not_available,2026,"927,08€","1.041,67€",14.000€,0.00%,17.325€,"1.443,75€",,,,
continente,CAS2,2,true,false,0,2000,11,1x50%,not_available,2026,"1.585,17€","2.083,33€",28.000€,12.92%,34.650€,"2.887,50€",,"0,00€","105,23€","851,43€"
continente,CAS2,2,true,false,0,3000,11,1x50%,not_available,2026,"1.585,17€","2.083,33€",28.000€,12.92%,34.650€,"2.887,50€",,"0,00€","229,17€","1.585,17€"
continente,CAS2,2,true,false,0,5000,11,1x50%,not_available,2026,"2.135,25€",3.125€,42.000€,20.68%,51.975€,"4.331,25€",,,,
continente,CAS2,2,true,false,0,10000,11,1x50%,not_available,2026,"3.167,42€","5.208,33€",70.000€,28.20%,86.625€,"7.218,75€",,,,
continente,CAS2,2,true,false,0,820,11,2x50%,not_available,2026,"5.491,83€","10.416,67€",140.000€,36.29%,173.250€,"14.437,50€",,,,
continente,CAS2,2,true,false,0,1000,11,2x50%,not_available,2026,"790,62€","888,33€",11.480€,0.00%,"14.206,50€","1.183,88€",,"0,00€","97,72€","790,62€"
continente,CAS2,2,true,false,0,1500,11,2x50%,not_available,2026,"964,17€","1.083,33€",14.000€,0.00%,17.325€,"1.443,75€",,"0,00€","119,17€","964,17€"
continente,CAS2,2,true,false,0,2000,11,2x50%,not_available,2026,"1.311,25€",1.625€,21.000€,8.35%,"25.987,50€","2.165,63€",,,,
continente,CAS2,2,true,false,0,3000,11,2x50%,not_available,2026,"2.135,25€",3.125€,42.000€,20.68%,51.975€,"4.331,25€",,"0,00€","343,75€","2.135,25€"
continente,CAS2,2,true,false,0,5000,11,2x50%,not_available,2026,"2.221,50€",3.250€,42.000€,20.68%,51.975€,"4.331,25€",,"0,00€","357,50€","2.221,50€"
continente,CAS2,2,true,false,0,10000,11,2x50%,not_available,2026,"3.293,83€","5.416,67€",70.000€,28.20%,86.625€,"7.218,75€",,"0,00€","595,83€","3.293,83€"
continente,CAS2,2,true,false,0,820,11,2x100%,not_available,2026,"2.221,50€","956,67€",11.480€,0.00%,"14.206,50€","1.183,88€",,"0,00€","357,50€","2.221,50€"
continente,CAS2,2,true,false,0,1000,11,2x100%,not_available,2026,"1.038,33€","1.166,67€",14.000€,0.00%,17.325€,"1.443,75€",,,,
continente,CAS2,2,true,false,0,1500,11,2x100%,not_available,2026,"851,43€","956,67€",11.480€,0.00%,"14.206,50€","1.183,88€",,"0,00€","105,23€","851,43€"
continente,CAS2,2,true,false,0,2000,11,2x100%,not_available,2026,"1.038,33€","1.166,67€",14.000€,0.00%,17.325€,"1.443,75€",,,,
continente,CAS2,2,true,false,0,3000,11,2x100%,not_available,2026,"1.775,67€","2.333,33€",28.000€,12.92%,34.650€,"2.887,50€",,"0,00€","192,50€","1.411,50€"
continente,CAS2,2,true,false,0,5000,11,2x100%,not_available,2026,"1.038,33€","1.166,67€",14.000€,0.00%,17.325€,"1.443,75€",,"0,00€","128,33€","1.038,33€"
continente,CAS2,2,true,false,0,10000,11,2x100%,not_available,2026,"3.546,67€","5.833,33€",70.000€,28.20%,86.625€,"7.218,75€",,,,
continente,CAS2,2,true,true,1,820,11, ,not_available,2026,"6.150,33€","11.666,67€",140.000€,36.29%,173.250€,"14.437,50€",,"0,00€","1.283,33€","6.150,33€"
continente,CAS2,2,true,true,1,1000,11, ,not_available,2026,"729,80€",820€,11.480€,0.00%,"14.206,50€","1.183,88€",,"0,00€","90,20€","729,80€"
continente,CAS2,2,true,true,1,1500,11, ,not_available,2026,890€,1.000€,14.000€,0.00%,17.325€,"1.443,75€",,,,
continente,CAS2,2,true,true,1,2000,11, ,not_available,2026,"3.546,67€","5.833,33€",70.000€,28.20%,86.625€,"7.218,75€",,"0,00€","641,67€","3.546,67€"
continente,CAS2,2,true,true,1,3000,11, ,not_available,2026,1.564€,2.000€,28.000€,10.80%,34.650€,"2.887,50€",,,,
continente,CAS2,2,true,true,1,5000,11, ,not_available,2026,2.093€,3.000€,42.000€,19.26%,51.975€,"4.331,25€",,,,
continente,CAS2,2,true,true,1,10000,11, ,not_available,2026,3.083€,5.000€,70.000€,27.35%,86.625€,"7.218,75€",,,,
continente,CAS2,2,true,true,1,820,11,1x50%,not_available,2026,5.314€,10.000€,140.000€,35.86%,173.250€,"14.437,50€",,,,
continente,CAS2,2,true,true,1,1000,11,1x50%,not_available,2026,"760,21€","854,17€",11.480€,0.00%,"14.206,50€","1.183,88€",,,,
continente,CAS2,2,true,true,1,1500,11,1x50%,not_available,2026,1.564€,2.000€,28.000€,10.80%,34.650€,"2.887,50€",,"0,00€","220,00€","1.564,00€"
continente,CAS2,2,true,true,1,2000,11,1x50%,not_available,2026,"1.304,63€","1.562,50€",21.000€,5.53%,"25.987,50€","2.165,63€",,,,
continente,CAS2,2,true,true,1,3000,11,1x50%,not_available,2026,"1.304,63€","1.562,50€",21.000€,5.53%,"25.987,50€","2.165,63€",,,,
continente,CAS2,2,true,true,1,5000,11,1x50%,not_available,2026,"1.629,17€","2.083,33€",28.000€,10.80%,34.650€,"2.887,50€",,,,
